Tamaño	Time	Avr. OB	Min OB	Max OB
1000	4.645700E-07	44	1	999
1100	4.595545E-07	57	1	1099
1200	3.785417E-07	63	1	1200
1300	4.055077E-07	68	1	1300
1400	4.112143E-07	74	1	1397
1500	4.934333E-07	78	1	1495
1600	4.697563E-07	103	1	1597
1700	4.576471E-07	103	1	1698
1800	4.796278E-07	111	1	1800
1900	4.716895E-07	108	1	1897
2000	4.663300E-07	109	1	1999
2100	4.993333E-07	122	1	2091
2200	4.522227E-07	106	1	2199
2300	5.492174E-07	141	1	2300
2400	5.099708E-07	130	1	2395
2500	6.290240E-07	168	1	2496
2600	5.618192E-07	156	1	2599
2700	4.683296E-07	115	1	2700
2800	5.738893E-07	164	1	2799
2900	5.522000E-07	150	1	2900
3000	6.017267E-07	179	1	2999
3100	6.021839E-07	180	1	3100
3200	5.836344E-07	173	1	3196
3300	5.273333E-07	144	1	3300
3400	6.083529E-07	186	1	3400
3500	6.970114E-07	210	1	3499
3600	5.668833E-07	163	1	3599
3700	6.851000E-07	219	1	3697
3800	6.733237E-07	213	1	3799
3900	6.387769E-07	196	1	3900
4000	6.254675E-07	194	1	3997
4100	6.475195E-07	207	1	4100
4200	6.806190E-07	223	1	4200
4300	6.592581E-07	215	1	4298
4400	7.178841E-07	243	1	4399
4500	8.106067E-07	268	1	4500
4600	6.679587E-07	215	1	4597
4700	6.822936E-07	219	1	4699
4800	8.829854E-07	317	1	4800
4900	7.086020E-07	234	1	4899
5000	7.922200E-07	275	1	4995
5100	6.990255E-07	228	1	5100
5200	8.832827E-07	315	1	5200
5300	7.994774E-07	278	1	5298
5400	7.096537E-07	233	1	5396
5500	8.934164E-07	316	1	5500
5600	8.438518E-07	302	1	5599
5700	8.115772E-07	282	1	5691
5800	8.964000E-07	330	1	5795
5900	9.349186E-07	340	1	5897
6000	8.055317E-07	283	1	5999
6100	9.748344E-07	364	1	6097
6200	7.239790E-07	247	1	6195
6300	8.063683E-07	284	1	6294
6400	8.827734E-07	320	1	6397
6500	1.131075E-06	433	1	6500
6600	9.175455E-07	325	1	6599
6700	8.802985E-07	317	1	6695
6800	9.750779E-07	368	1	6800
6900	1.007114E-06	382	1	6898
7000	9.950843E-07	375	1	7000
7100	9.638549E-07	356	1	7090
7200	8.785500E-07	318	1	7193
7300	1.037660E-06	385	1	7300
7400	1.144714E-06	444	1	7393
7500	9.011573E-07	335	1	7499
7600	1.102807E-06	424	1	7600
7700	1.145531E-06	447	1	7694
7800	9.894679E-07	376	1	7798
7900	1.164337E-06	448	1	7897
8000	1.134459E-06	446	1	8000
8100	1.094563E-06	421	1	8100
8200	1.180255E-06	471	1	8196
8300	1.020699E-06	397	1	8294
8400	1.084024E-06	421	1	8400
8500	1.265780E-06	504	1	8500
8600	1.144331E-06	448	1	8573
8700	1.239554E-06	493	1	8693
8800	1.407107E-06	580	1	8800
8900	1.189365E-06	468	1	8895
9000	1.102238E-06	431	1	8990
9100	1.176043E-06	470	1	9096
9200	1.073210E-06	420	1	9200
9300	1.399298E-06	580	1	9300
9400	1.288383E-06	510	1	9389
9500	1.337622E-06	546	1	9494
9600	1.198845E-06	482	1	9589
9700	1.240837E-06	497	1	9699
9800	1.200305E-06	471	1	9794
9900	1.429900E-06	593	1	9894
10000	1.534689E-06	643	1	9995
