Tamaño	Time	Avr. OB	Min OB	Max OB
4350	5.346897E-06	11	1	13
4375	5.286171E-06	11	1	13
4400	5.305455E-06	11	1	13
4425	5.333559E-06	11	1	13
4450	5.308539E-06	11	1	13
4475	5.314860E-06	11	1	13
4500	5.308000E-06	11	1	13
4525	5.325746E-06	11	1	13
4550	5.307912E-06	11	1	13
4575	5.348415E-06	11	1	13
4600	5.332174E-06	11	1	13
4625	5.327568E-06	11	1	13
4650	5.372043E-06	11	1	13
4675	5.363850E-06	11	1	13
4700	5.342979E-06	11	1	13
4725	5.398307E-06	11	1	13
4750	5.834526E-06	11	1	13
4775	5.334031E-06	11	1	13
4800	5.396042E-06	11	1	13
4825	5.370363E-06	11	1	13
4850	5.458557E-06	11	1	13
4875	5.359590E-06	11	1	13
4900	5.355510E-06	11	1	13
4925	5.409543E-06	11	1	13
4950	5.575758E-06	11	1	13
4975	5.361407E-06	11	1	13
5000	5.364000E-06	11	1	13
5025	5.371144E-06	11	1	13
5050	5.394059E-06	11	1	13
5075	5.386010E-06	11	1	13
5100	5.415882E-06	11	1	13
5125	5.391220E-06	11	1	13
5150	5.469903E-06	11	1	13
5175	5.443865E-06	11	1	13
5200	5.385000E-06	11	1	13
5225	5.406699E-06	11	1	13
5250	5.421905E-06	11	1	13
5275	5.424265E-06	11	1	13
5300	5.476038E-06	11	1	13
5325	5.423099E-06	11	1	13
5350	5.410654E-06	11	1	13
5375	5.486884E-06	11	1	13
5400	5.425556E-06	11	1	13
5425	5.425069E-06	11	1	13
5450	5.705321E-06	11	1	13
5475	5.437078E-06	12	1	13
5500	5.470000E-06	12	1	13
5525	5.465882E-06	12	1	13
5550	5.515495E-06	12	1	13
5575	5.477130E-06	12	1	13
5600	5.476429E-06	12	1	13
5625	5.482311E-06	12	1	13
5650	5.443186E-06	12	1	13
5675	5.464670E-06	12	1	13
5700	5.477895E-06	12	1	13
5725	5.489432E-06	12	1	13
5750	5.460870E-06	12	1	13
5775	5.476710E-06	12	1	13
